amount,amount_to_average_ratio,new_recipient,recipient_transaction_count,transaction_velocity,hour_of_day,day_of_week,historical_average,historical_std,recent_suspicious_call,recent_suspicious_message,device_changed,location_anomaly,voice_risk,message_risk,scenario_type,is_fraud
3192.3,1.06,0,32,0.1329,16,6,3000.0,1200.0,0,0,0,0,8,1,NORMAL,0
7146.36,0.89,0,5,0.1174,16,0,8000.0,3200.0,0,0,0,0,2,12,NORMAL,0
1419.49,0.95,0,38,0.1769,17,4,1500.0,600.0,0,0,0,0,15,4,NORMAL,0
4322.76,0.86,0,7,0.146,12,0,5000.0,2000.0,0,0,0,0,7,14,NORMAL,0
36667.34,3.06,1,0,0.3132,14,6,12000.0,4800.0,1,1,0,1,73,80,SUSPICIOUS,1
6679.31,4.45,1,0,0.3008,2,2,1500.0,600.0,0,0,0,0,44,9,SUSPICIOUS,1
4514.06,0.56,0,7,0.105,19,5,8000.0,3200.0,0,0,0,0,10,4,NORMAL,0
33925.02,2.83,1,0,0.4034,0,2,12000.0,4800.0,0,1,1,0,48,71,SUSPICIOUS,1
3228.84,1.08,1,0,0.2173,10,4,3000.0,1200.0,0,0,0,0,1,10,NORMAL,0
45822.23,3.82,1,0,0.5325,2,5,12000.0,4800.0,1,1,0,0,61,55,SUSPICIOUS,1
26552.08,3.32,1,0,0.5862,19,6,8000.0,3200.0,1,0,0,0,71,14,SUSPICIOUS,1
98636.14,8.22,1,0,1.173,6,6,12000.0,4800.0,1,1,0,1,99,74,EXTREME,1
5592.19,0.7,0,37,0.2362,10,2,8000.0,3200.0,0,0,0,0,2,5,NORMAL,0
2978.17,0.99,0,7,0.2387,14,6,3000.0,1200.0,0,0,0,0,14,11,NORMAL,0
34056.2,4.26,1,0,0.5978,23,1,8000.0,3200.0,0,0,1,1,41,20,SUSPICIOUS,1
5256.12,3.5,0,3,0.5324,19,3,1500.0,600.0,0,1,0,0,2,53,SUSPICIOUS,1
52166.4,4.35,1,0,0.3152,4,0,12000.0,4800.0,1,0,0,1,61,19,SUSPICIOUS,1
9071.13,1.13,0,3,0.1727,14,5,8000.0,3200.0,0,0,0,0,4,9,NORMAL,0
2673.77,0.89,0,13,0.1795,9,4,3000.0,1200.0,0,0,0,0,11,2,NORMAL,0
7632.21,0.64,0,26,0.2234,8,5,12000.0,4800.0,0,0,0,1,12,11,NORMAL,0
604.31,0.4,0,44,0.1719,17,1,1500.0,600.0,0,0,0,0,1,11,NORMAL,0
2817.98,0.94,0,45,0.1376,22,5,3000.0,1200.0,0,0,0,0,5,4,NORMAL,0
5013.76,0.63,1,0,0.0823,13,0,8000.0,3200.0,0,0,0,0,10,9,NORMAL,0
9195.55,0.77,0,4,0.1982,13,2,12000.0,4800.0,0,0,0,0,11,1,NORMAL,0
7946.55,5.3,1,0,0.36,19,3,1500.0,600.0,0,1,0,0,46,71,SUSPICIOUS,1
3337.04,0.67,0,29,0.0566,12,4,5000.0,2000.0,0,0,0,0,9,10,NORMAL,0
4520.57,0.9,0,40,0.1907,12,5,5000.0,2000.0,0,0,0,0,14,11,NORMAL,0
6929.93,1.39,0,29,0.0977,8,0,5000.0,2000.0,0,0,0,0,12,11,NORMAL,0
17504.29,5.83,1,0,0.443,19,0,3000.0,1200.0,1,0,0,0,50,11,SUSPICIOUS,1
15000.0,10.0,1,0,0.9432,11,2,1500.0,600.0,1,1,1,1,94,94,EXTREME,1
5042.4,1.01,0,43,0.0985,10,0,5000.0,2000.0,0,0,0,0,5,15,NORMAL,0
1026.83,0.68,0,18,0.1878,13,4,1500.0,600.0,0,0,0,0,9,15,NORMAL,0
1594.66,1.06,0,30,0.2494,17,5,1500.0,600.0,0,0,0,0,11,2,NORMAL,0
4881.23,0.98,0,42,0.0766,18,4,5000.0,2000.0,0,0,0,0,7,3,NORMAL,0
3199.32,1.07,0,3,0.1158,18,3,3000.0,1200.0,0,0,0,0,4,2,NORMAL,0
5850.11,0.73,0,28,0.2129,9,1,8000.0,3200.0,0,0,0,0,10,2,NORMAL,0
3433.34,0.69,0,37,0.1744,12,6,5000.0,2000.0,0,0,0,0,4,13,NORMAL,0
6470.04,4.31,1,0,0.2648,3,2,1500.0,600.0,0,0,1,0,16,2,SUSPICIOUS,1
11331.89,0.94,0,42,0.1036,9,4,12000.0,4800.0,0,0,0,0,5,4,NORMAL,0
15154.05,1.26,0,38,0.0487,7,0,12000.0,4800.0,0,0,0,0,1,8,NORMAL,0
5338.52,0.67,0,3,0.1446,16,5,8000.0,3200.0,0,0,0,0,9,15,NORMAL,0
28328.15,3.54,1,0,0.224,19,3,8000.0,3200.0,0,0,1,0,48,49,SUSPICIOUS,1
2650.1,0.53,0,10,0.1997,10,2,5000.0,2000.0,0,0,0,0,7,14,NORMAL,0
2882.86,0.96,1,0,0.1009,19,6,3000.0,1200.0,0,0,0,0,13,7,NORMAL,0
5218.29,1.04,0,22,0.0799,12,3,5000.0,2000.0,0,0,0,0,14,15,NORMAL,0
59.52,0.04,0,34,0.136,14,1,1500.0,600.0,0,0,0,0,11,1,NORMAL,0
4751.22,0.59,0,2,0.2179,20,1,8000.0,3200.0,0,0,0,0,8,11,NORMAL,0
10064.82,1.26,1,0,0.158,18,4,8000.0,3200.0,0,0,0,0,9,2,NORMAL,0
5909.58,0.49,0,41,0.1829,10,1,12000.0,4800.0,0,0,0,0,3,12,NORMAL,0
14523.82,1.21,0,11,0.0818,19,4,12000.0,4800.0,0,0,1,0,1,1,NORMAL,0
3928.28,0.49,0,11,0.1673,11,2,8000.0,3200.0,0,0,0,0,10,5,NORMAL,0
22890.18,4.58,1,0,0.4039,19,5,5000.0,2000.0,1,0,1,1,65,11,SUSPICIOUS,1
6395.08,0.8,0,42,0.0456,22,2,8000.0,3200.0,0,0,0,0,7,1,NORMAL,0
10382.69,0.87,0,26,0.071,14,0,12000.0,4800.0,0,0,1,0,3,6,NORMAL,0
21911.04,7.3,1,0,0.5631,16,6,3000.0,1200.0,1,1,0,0,99,85,EXTREME,1
1869.76,1.25,0,35,0.0835,17,5,1500.0,600.0,0,0,0,0,15,12,NORMAL,0
6486.55,0.54,0,24,0.1819,15,4,12000.0,4800.0,0,0,0,0,15,6,NORMAL,0
4060.27,0.81,0,21,0.2019,13,5,5000.0,2000.0,0,0,0,0,15,10,NORMAL,0
31511.58,6.3,1,0,0.8588,17,3,5000.0,2000.0,1,1,0,0,92,81,EXTREME,1
21682.66,4.34,1,0,1.1643,2,2,5000.0,2000.0,1,1,1,0,94,90,EXTREME,1
2991.24,1.0,0,19,0.2359,15,1,3000.0,1200.0,0,0,0,0,3,7,NORMAL,0
11042.98,0.92,0,16,0.051,20,2,12000.0,4800.0,0,0,0,0,15,3,NORMAL,0
8331.9,0.69,0,12,0.1255,22,3,12000.0,4800.0,0,0,0,0,6,9,NORMAL,0
1053.99,0.7,0,16,0.1524,8,1,1500.0,600.0,0,0,0,0,13,5,NORMAL,0
8499.2,1.06,0,13,0.2367,16,0,8000.0,3200.0,0,0,0,0,0,9,NORMAL,0
5374.5,1.07,0,43,0.1541,22,1,5000.0,2000.0,0,0,0,0,14,8,NORMAL,0
15176.75,5.06,1,0,0.4874,0,5,3000.0,1200.0,1,1,1,0,53,52,SUSPICIOUS,1
43155.72,5.39,1,0,0.2347,1,1,8000.0,3200.0,0,1,1,0,15,55,SUSPICIOUS,1
7414.6,0.93,0,23,0.1034,7,2,8000.0,3200.0,0,0,0,0,11,7,NORMAL,0
5184.12,1.04,0,45,0.1455,16,5,5000.0,2000.0,0,0,0,0,3,9,NORMAL,0
23476.37,7.83,1,0,0.764,19,2,3000.0,1200.0,1,1,0,0,93,92,EXTREME,1
12031.11,1.0,0,15,0.2,9,4,12000.0,4800.0,0,0,0,0,14,11,NORMAL,0
1024.05,0.68,0,34,0.0825,11,1,1500.0,600.0,0,0,0,0,10,14,NORMAL,0
94927.48,7.91,1,0,1.1191,14,6,12000.0,4800.0,1,1,1,0,81,84,EXTREME,1
32424.94,2.7,1,0,0.5228,0,3,12000.0,4800.0,0,0,1,0,35,18,SUSPICIOUS,0
13685.81,1.14,0,6,0.2471,22,0,12000.0,4800.0,0,0,0,0,9,13,NORMAL,0
30484.91,3.81,0,2,0.5478,14,3,8000.0,3200.0,1,1,1,0,69,62,SUSPICIOUS,1
34807.59,4.35,1,0,0.2891,0,6,8000.0,3200.0,1,1,0,0,54,74,SUSPICIOUS,1
2559.11,0.85,0,24,0.0726,13,5,3000.0,1200.0,0,0,0,0,3,1,NORMAL,0
5013.5,3.34,1,0,0.4376,19,4,1500.0,600.0,0,0,0,1,1,42,SUSPICIOUS,1
1624.1,1.08,0,20,0.0892,17,4,1500.0,600.0,0,0,0,0,10,7,NORMAL,0
39283.8,3.27,1,0,0.2244,2,5,12000.0,4800.0,0,1,0,0,17,62,SUSPICIOUS,1
9386.88,0.78,0,28,0.1257,16,3,12000.0,4800.0,0,0,0,0,5,15,NORMAL,0
31338.63,10.45,1,0,1.1318,17,3,3000.0,1200.0,1,1,0,1,93,87,EXTREME,1
28133.47,5.63,1,0,0.9174,14,6,5000.0,2000.0,1,1,0,0,91,72,EXTREME,1
1045.09,0.7,0,45,0.167,8,6,1500.0,600.0,0,0,0,0,2,6,NORMAL,0
4823.86,0.4,0,15,0.2226,17,2,12000.0,4800.0,0,0,0,0,0,6,NORMAL,0
1107.46,0.74,0,32,0.232,13,3,1500.0,600.0,0,0,0,0,7,10,NORMAL,0
12512.03,1.04,0,21,0.0949,22,3,12000.0,4800.0,0,0,0,0,3,15,NORMAL,0
11392.4,3.8,1,0,0.425,3,5,3000.0,1200.0,1,1,0,0,51,77,SUSPICIOUS,1
3050.29,1.02,0,16,0.1198,14,3,3000.0,1200.0,0,0,0,0,10,8,NORMAL,0
6951.61,0.87,0,24,0.0755,22,1,8000.0,3200.0,0,0,0,0,1,1,NORMAL,0
1021.06,0.68,0,28,0.0689,14,0,1500.0,600.0,0,0,0,0,4,0,NORMAL,0
6993.63,4.66,1,0,0.4466,19,5,1500.0,600.0,0,1,1,0,35,66,SUSPICIOUS,1
5017.3,1.0,0,20,0.0436,20,6,5000.0,2000.0,0,0,0,0,5,3,NORMAL,0
3568.41,1.19,0,35,0.093,18,2,3000.0,1200.0,0,0,0,0,12,2,NORMAL,0
8900.09,0.74,0,16,0.103,9,5,12000.0,4800.0,0,0,0,0,1,2,NORMAL,0
21571.22,2.7,1,0,0.2686,19,6,8000.0,3200.0,1,0,0,0,56,46,SUSPICIOUS,1
49971.01,4.16,1,0,0.2297,4,4,12000.0,4800.0,0,1,1,1,37,60,SUSPICIOUS,1
2702.87,0.9,0,27,0.2351,16,1,3000.0,1200.0,0,0,0,0,7,12,NORMAL,0
9108.71,1.14,0,10,0.206,9,4,8000.0,3200.0,0,0,0,0,11,1,NORMAL,0
15000.0,10.0,1,0,1.0152,19,3,1500.0,600.0,1,1,0,0,90,70,EXTREME,1
63398.62,7.92,1,0,0.6846,12,3,8000.0,3200.0,1,1,0,1,85,91,EXTREME,1
42405.94,3.53,1,0,0.2294,4,1,12000.0,4800.0,1,1,1,1,75,64,SUSPICIOUS,1
1095.98,0.73,0,30,0.1156,15,0,1500.0,600.0,0,0,0,0,4,2,NORMAL,0
11132.72,0.93,0,8,0.0455,18,4,12000.0,4800.0,0,0,0,1,2,10,NORMAL,0
9750.71,1.22,0,7,0.1922,14,4,8000.0,3200.0,0,0,0,0,5,12,NORMAL,0
39724.96,7.94,1,0,0.4506,13,2,5000.0,2000.0,1,1,1,1,93,79,EXTREME,1
3872.09,0.77,0,42,0.1441,13,3,5000.0,2000.0,0,0,0,0,3,4,NORMAL,0
4244.3,0.85,0,26,0.2089,17,3,5000.0,2000.0,0,0,0,0,10,13,NORMAL,0
14013.41,1.17,0,22,0.1667,13,3,12000.0,4800.0,0,0,0,0,10,5,NORMAL,0
5213.58,1.04,0,42,0.1431,14,2,5000.0,2000.0,0,0,0,0,12,8,NORMAL,0
17184.81,11.46,1,0,0.5598,17,1,1500.0,600.0,1,1,0,0,97,70,EXTREME,1
3067.61,1.02,0,20,0.2146,9,6,3000.0,1200.0,0,0,0,0,13,15,NORMAL,0
3748.47,0.75,0,29,0.2057,9,3,5000.0,2000.0,0,0,0,0,15,12,NORMAL,0
66793.29,8.35,1,0,1.0326,11,5,8000.0,3200.0,1,1,0,1,97,89,EXTREME,1
2602.24,0.87,0,24,0.0749,8,4,3000.0,1200.0,0,0,0,0,12,10,NORMAL,0
15000.0,10.0,1,0,0.5776,23,4,1500.0,600.0,1,1,0,1,97,88,EXTREME,1
5479.38,1.1,0,45,0.1636,11,2,5000.0,2000.0,0,0,0,0,0,15,NORMAL,0
1284.19,0.86,0,11,0.1131,17,3,1500.0,600.0,0,0,0,0,6,15,NORMAL,0
7796.0,0.97,0,21,0.0494,10,0,8000.0,3200.0,0,0,0,0,10,3,NORMAL,0
4164.89,1.39,0,37,0.0736,20,3,3000.0,1200.0,0,0,0,0,7,12,NORMAL,0
5265.3,0.66,0,41,0.2255,21,4,8000.0,3200.0,0,0,1,0,13,12,NORMAL,0
50093.02,10.02,1,0,1.047,2,4,5000.0,2000.0,1,1,0,1,83,95,EXTREME,1
4111.34,0.82,0,9,0.0951,22,4,5000.0,2000.0,0,0,0,0,10,12,NORMAL,0
5470.39,1.09,0,31,0.1696,16,4,5000.0,2000.0,0,0,0,0,2,4,NORMAL,0
1215.85,0.81,0,11,0.1473,20,4,1500.0,600.0,0,0,0,0,4,12,NORMAL,0
6134.83,0.51,0,43,0.2354,12,4,12000.0,4800.0,0,0,0,0,5,15,NORMAL,0
2974.59,0.37,0,24,0.2399,22,1,8000.0,3200.0,0,0,0,0,6,12,NORMAL,0
31455.76,3.93,1,0,0.4841,19,3,8000.0,3200.0,1,1,1,0,71,54,SUSPICIOUS,1
